family_id,description,class,heterotrophy_relevant,priority,gene_name,function_broad,ref_id
AA0,Non-Classified Sequences,AA,TRUE,medium,NA,NA,NA
AA1,1,AA,TRUE,medium,NA,NA,NA
AA10,10,AA,TRUE,medium,NA,NA,NA
AA11,11,AA,TRUE,medium,NA,NA,NA
AA12,12,AA,TRUE,medium,NA,NA,NA
AA13,13,AA,TRUE,medium,NA,NA,NA
AA14,14,AA,TRUE,medium,NA,NA,NA
AA15,15,AA,TRUE,medium,NA,NA,NA
AA16,16,AA,TRUE,medium,NA,NA,NA
AA17,17,AA,TRUE,medium,NA,NA,NA
AA18,18,AA,TRUE,medium,NA,NA,NA
AA2,2,AA,TRUE,medium,NA,NA,NA
AA3,3,AA,TRUE,medium,NA,NA,NA
AA4,4,AA,TRUE,medium,NA,NA,NA
AA5,5,AA,TRUE,medium,NA,NA,NA
AA6,6,AA,TRUE,medium,NA,NA,NA
AA7,7,AA,TRUE,medium,NA,NA,NA
AA8,8,AA,TRUE,medium,NA,NA,NA
AA9,9,AA,TRUE,medium,NA,NA,NA
CBM0,Non-Classified Sequences,CBM,FALSE,low,NA,NA,NA
CBM1,1,CBM,FALSE,low,NA,NA,NA
CBM10,10,CBM,FALSE,low,NA,NA,NA
CBM100,100,CBM,FALSE,low,NA,NA,NA
CBM101,101,CBM,FALSE,low,NA,NA,NA
CBM102,102,CBM,FALSE,low,NA,NA,NA
CBM103,103,CBM,FALSE,low,NA,NA,NA
CBM104,104,CBM,FALSE,low,NA,NA,NA
CBM105,105,CBM,FALSE,low,NA,NA,NA
CBM106,106,CBM,FALSE,low,NA,NA,NA
CBM107,107,CBM,FALSE,low,NA,NA,NA
CBM108,108,CBM,FALSE,low,NA,NA,NA
CBM109,109,CBM,FALSE,low,NA,NA,NA
CBM11,11,CBM,FALSE,low,NA,NA,NA
CBM110,110,CBM,FALSE,low,NA,NA,NA
CBM111,111,CBM,FALSE,low,NA,NA,NA
CBM112,112,CBM,FALSE,low,NA,NA,NA
CBM113,113,CBM,FALSE,low,NA,NA,NA
CBM12,12,CBM,FALSE,low,NA,NA,NA
CBM13,13,CBM,FALSE,low,NA,NA,NA
CBM14,14,CBM,FALSE,low,NA,NA,NA
CBM15,15,CBM,FALSE,low,NA,NA,NA
CBM16,16,CBM,FALSE,low,NA,NA,NA
CBM17,17,CBM,FALSE,low,NA,NA,NA
CBM18,18,CBM,FALSE,low,NA,NA,NA
CBM19,19,CBM,FALSE,low,NA,NA,NA
CBM2,2,CBM,FALSE,low,NA,NA,NA
CBM20,20,CBM,FALSE,low,NA,NA,NA
CBM21,21,CBM,FALSE,low,NA,NA,NA
CBM22,22,CBM,FALSE,low,NA,NA,NA
CBM23,23,CBM,FALSE,low,NA,NA,NA
CBM24,24,CBM,FALSE,low,NA,NA,NA
CBM25,25,CBM,FALSE,low,NA,NA,NA
CBM26,26,CBM,FALSE,low,NA,NA,NA
CBM27,27,CBM,FALSE,low,NA,NA,NA
CBM28,28,CBM,FALSE,low,NA,NA,NA
CBM29,29,CBM,FALSE,low,NA,NA,NA
CBM3,3,CBM,FALSE,low,NA,NA,NA
CBM30,30,CBM,FALSE,low,NA,NA,NA
CBM31,31,CBM,FALSE,low,NA,NA,NA
CBM32,32,CBM,FALSE,low,NA,NA,NA
CBM33,33,CBM,FALSE,low,NA,NA,NA
CBM34,34,CBM,FALSE,low,NA,NA,NA
CBM35,35,CBM,FALSE,low,NA,NA,NA
CBM36,36,CBM,FALSE,low,NA,NA,NA
CBM37,37,CBM,FALSE,low,NA,NA,NA
