gene_name,gene_alias,function_broad,function_specific,ko_id,kegg_name_short,kegg_name_full,kegg_classification_broad,pfam_id,cazy_family,cazy_class,ref_ids,dois,years,organism_studied,ko_match_confidence,n_refs,notes
glutamine synthetase,GS;GLUL,Assimilation,Ammonium assimilation (N fixation into amino acids),K01915,"glnA, GLUL",glutamine synthetase,Nutrient processing,NA,NA,NA,DagenaisBellefeuille2013,10.3389/fmicb.2013.00369,2013,Dinoflagellates,exact,1,Core N assimilation enzyme; prey-derived N routed through GS/GOGAT
ammonium transporter,AMT;Rh protein,Assimilation,Ammonium uptake,K03320,"amt, AMT, MEP","ammonium transporter, Amt family",Nutrient processing,PF00909.24,NA,NA,Liu2015a,10.3389/fmicb.2015.00631,2015,Prymnesium parvum,exact,1,Upregulated under N limitation in mixotrophic haptophyte
fatty acid beta-oxidation (HADH),HADH;HADHB,Assimilation,Beta-oxidation of prey fatty acids,K00022,HADH,3-hydroxyacyl-CoA dehydrogenase,Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Key step converting prey lipids to acetyl-CoA
fatty acid beta-oxidation (HADH),HADH;HADHB,Assimilation,Beta-oxidation of prey fatty acids,K00022,HADH,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Key step converting prey lipids to acetyl-CoA
C/N assimilation (phagotrophic pathway),phagotrophy C;N assimilation,Assimilation,Carbon and nitrogen uptake via phagotrophy vs photosynthesis,NA,NA,NA,NA,NA,NA,NA,Terrado2017,10.1038/ismej.2017.68,2017,Ochromonas sp. (Chrysophyceae),unmatched,1,nanoSIMS + gene expression: phagotrophy dominant C/N source; photosynthesis secondary
fatty acid biosynthesis (heterotrophic shift),FAS;FASN,Assimilation,Carbon partitioning into fatty acids under mixotrophy,K00665,FASN,"fatty acid synthase, animal type",Phagotrophy,NA,NA,NA,Lari2019,10.1007/s10811-018-1549-4,2019,Tetraselmis sp.,exact,1,Mixotrophic growth shifts fatty acid composition vs autotrophic; heterotrophy increases saturated FA
C/N uptake rates (ciliate mixotrophy vs heterotrophy),ciliate C;N uptake,Assimilation,Comparative C and N acquisition in ciliates,NA,NA,NA,NA,NA,NA,NA,Schoener2017,10.1093/plankt/fbx014,2017,Favella sp. (mixotrophic); Strombidinopsis (heterotrophic),unmatched,1,Ciliate comparison: heterotrophic relies entirely on phagotrophy for C/N; mixotrophic supplements with photosynthesis
alkaline phosphatase,ALPL;PhoA,Assimilation,Dissolved organic phosphorus remineralization,K01077,NA,NA,NA,PF00245.23,NA,NA,Liu2015a,10.3389/fmicb.2015.00631,2015,Prymnesium parvum,exact,1,Upregulated under P limitation; cleaves organic P from DOM
beta-oxidation (ACAD),ACAD;ACADS,Assimilation,Fatty acid beta-oxidation of prey lipids,K00249,"ACADM, acd",acyl-CoA dehydrogenase,Phagotrophy,NA,NA,NA,Lie2018,10.1371/journal.pone.0192439,2018,Ochromonas sp. / O. sphaerocystis,exact,1,Differentially expressed between species under prey conditions
beta-oxidation (ACAD),ACAD;ACADS,Assimilation,Fatty acid beta-oxidation of prey lipids,K00249,"ACADM, acd",acyl-CoA dehydrogenase [EC:1.3.8.7],Phagotrophy,NA,NA,NA,Lie2018,10.1371/journal.pone.0192439,2018,Ochromonas sp. / O. sphaerocystis,exact,1,Differentially expressed between species under prey conditions
glucose transporter,GLUT;HXT,Assimilation,Glucose uptake for dark heterotrophic growth,K07299,NA,NA,NA,PF03458.16,NA,NA,PerezGarcia2011,10.1016/j.watres.2010.08.037,2011,Microalgae (heterotrophic),exact,1,Key osmotrophic/heterotrophic sugar transporter; enables dark growth on glucose
dark heterotrophic metabolism (microalgae),heterotrophic microalgae metabolism,Assimilation,Heterotrophic carbon and energy metabolism in microalgae,NA,NA,NA,NA,NA,NA,NA,PerezGarcia2011,10.1016/j.watres.2010.08.037,2011,Microalgae (heterotrophic cultures),unmatched,1,Metabolic review: glucose/acetate as C sources; heterotrophic lipid and biomass production
