T_number,org_code,name,taxonomy
T02667,acan,Acanthamoeba castellanii,Acanthamoeba castellanii
T08062,bbig,Babesia bigemina,Babesia bigemina
T01085,bbo,Babesia bovis,Babesia bovis
T10391,bdw,Babesia duncani,Babesia duncani
T05554,bmic,Babesia microti,Babesia microti
T03089,bpg,Bathycoccus prasinos,Bathycoccus prasinos
T10171,csaz,Candidatus Chlamydia sanziniae,Candidatus Chlamydia sanziniae
T03403,frf,Candidatus Francisella endociliophora,Candidatus Francisella endociliophora
T03232,paca,Candidatus Odyssella acanthamoebae,Candidatus Odyssella acanthamoebae
T03240,caq,Candidatus Paracaedimonas acanthamoebae,Candidatus Paracaedimonas acanthamoebae
T00172,pcu,Candidatus Protochlamydia amoebophila,Candidatus Protochlamydia amoebophila
T04212,pnl,Candidatus Protochlamydia naegleriophila,Candidatus Protochlamydia naegleriophila
T07398,rhaw,Candidatus Rhabdochlamydia oedothoracis,Candidatus Rhabdochlamydia oedothoracis
T07448,rpor,Candidatus Rhabdochlamydia porcellionis,Candidatus Rhabdochlamydia porcellionis
T03773,cabo,Chlamydia abortus AB7,Chlamydia abortus AB7
T00242,cab,Chlamydia abortus S26/3,Chlamydia abortus S26/3
T03069,cav,Chlamydia avium,Chlamydia avium
T07542,cbue,Chlamydia buteonis,Chlamydia buteonis
T00125,cca,Chlamydia caviae,Chlamydia caviae
T08674,ccrd,Chlamydia crocodili,Chlamydia crocodili
T00332,cfe,Chlamydia felis Fe/C-56,Chlamydia felis Fe/C-56
T04276,cgz,Chlamydia gallinacea,Chlamydia gallinacea
T00028,cmu,Chlamydia muridarum Nigg,Chlamydia muridarum Nigg
T03206,cmn,Chlamydia muridarum Nigg 2 MCR,Chlamydia muridarum Nigg 2 MCR
T03671,cmur,Chlamydia muridarum Nigg CM972,Chlamydia muridarum Nigg CM972
T03505,cmx,Chlamydia muridarum Nigg3,Chlamydia muridarum Nigg3
T03684,cmz,Chlamydia muridarum Nigg3 CMUT3-5,Chlamydia muridarum Nigg3 CMUT3-5
T03404,cmm,Chlamydia muridarum Nigg3 clone G0.1.1,Chlamydia muridarum Nigg3 clone G0.1.1
T03405,cmg,Chlamydia muridarum Nigg3 clone G28.38.1,Chlamydia muridarum Nigg3 clone G28.38.1
T01466,cpm,Chlamydia pecorum E58,Chlamydia pecorum E58
T02853,cpec,Chlamydia pecorum P787,Chlamydia pecorum P787
T02854,cpeo,Chlamydia pecorum PV3056/3,Chlamydia pecorum PV3056/3
T02855,cper,Chlamydia pecorum W73,Chlamydia pecorum W73
T00029,cpa,Chlamydia pneumoniae AR39,Chlamydia pneumoniae AR39
T00021,cpn,Chlamydia pneumoniae CWL029,Chlamydia pneumoniae CWL029
T00032,cpj,Chlamydia pneumoniae J138,Chlamydia pneumoniae J138
T01859,clp,Chlamydia pneumoniae LPCoLN,Chlamydia pneumoniae LPCoLN
T00136,cpt,Chlamydia pneumoniae TW-183,Chlamydia pneumoniae TW-183
T05716,chla,Chlamydia poikilotherma,Chlamydia poikilotherma
T01860,chs,Chlamydia psittaci 01DC11,Chlamydia psittaci 01DC11
T02343,cpsd,Chlamydia psittaci 01DC12,Chlamydia psittaci 01DC12
T01861,chi,Chlamydia psittaci 02DC15,Chlamydia psittaci 02DC15
T01862,cht,Chlamydia psittaci 08DC60,Chlamydia psittaci 08DC60
T01481,chp,Chlamydia psittaci 6BC,Chlamydia psittaci 6BC
T02097,chb,Chlamydia psittaci 6BC,Chlamydia psittaci 6BC
