order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Carbon fixation,"fructose-1,6-bisphosphatase I ",Calvin cycle,K03841,,"FBP, fbp","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Carbon fixation
,Carbon fixation,"fructose-1,6-bisphosphatase II ",Calvin cycle,K02446,,glpX,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Gluconeogenesis-glycolysis
,Carbon fixation,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase ",Calvin cycle,K11532,,glpX-SEBP,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Energy Acquisition
,Carbon fixation,"fructose-1,6-bisphosphatase III ",Calvin cycle,K04041,,fbp3,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Photosynthesis
,Carbon fixation,"fructose-bisphosphate aldolase, class I ",Calvin cycle,K01623,,ALDO,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,N and P metabolism
,Carbon fixation,"fructose-bisphosphate aldolase, class II ",Calvin cycle,K01624,,"FBA, fbaA","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Nutrient processing
,Carbon fixation,glyceraldehyde 3-phosphate dehydrogenase ,Calvin cycle,K00134,,"GAPDH, gapA","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Phagotrophy
,Carbon fixation,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ,Calvin cycle,K00150,,gap2,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,Glycosaminoglycan
,Carbon fixation,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) ,Calvin cycle,K05298,,GAPA,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,phosphoglycerate kinase ,Calvin cycle,K00927,,"PGK, pgk","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,phosphoribulokinase ,Calvin cycle,K00855,PF00485,"PRK, prkB","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,ribose 5-phosphate isomerase A ,Calvin cycle,K01807,,rpiA,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,ribose 5-phosphate isomerase B ,Calvin cycle,K01808,,rpiB,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,ribulose-bisphosphate carboxylase large chain ,Calvin cycle,K01601,,rbcL,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,ribulose-bisphosphate carboxylase small chain ,Calvin cycle,K01602,,rbcS,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,sedoheptulose-bisphosphatase ,Calvin cycle,K01100,,SBPase,"carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Carbon fixation,transketolase ,Calvin cycle,K00615,,"tktA, tktB","carbon fixation, reduction, and regenerating starting materials. Light energy used to make organic molecules",,,complete calvin cycle?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase ",Gluconeogenesis,K01834,,"PGAM, gpmA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase ",Gluconeogenesis,K15633,,gpmI,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase ",Gluconeogenesis,K15635,,apgM,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,enolase ,Gluconeogenesis,K01689,,"ENO, eno","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose 1,6-bisphosphate aldolase/phosphatase ",Gluconeogenesis,K01622,,fbp aldolase/phosphatase,"Key enzyme in gluconeogenesis (see mention wrt diatoms in Chauton et al. 2013, Allen et al. 2012). Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-1,6-bisphosphatase I ",Gluconeogenesis,K03841,,"FBP, fbp","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-1,6-bisphosphatase II ",Gluconeogenesis,K02446,,glpX,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase ",Gluconeogenesis,K11532,,glpX-SEBP,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-1,6-bisphosphatase III ",Gluconeogenesis,K04041,,fbp3,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Gluconeogenesis,K01623,,ALDO,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Gluconeogenesis,K11645,,fbaB,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class II ",Gluconeogenesis,K01624,,"FBA, fbaA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde 3-phosphate dehydrogenase ,Gluconeogenesis,K00134,,"GAPDH, gapA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ,Gluconeogenesis,K00150,,gap2,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,phosphoenolpyruvate carboxykinase (ATP) ,Gluconeogenesis,K01610,,pckA,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
