"","KEGG","CLASS_REFINE"
"1","K00019","Fatty acid breakdown"
"2","K00022","Fatty acid breakdown"
"3","K00059","Fatty acid biosynthesis"
"4","K00161","Carbon fixation"
"5","K00162","Carbon fixation"
"6","K00208","Fatty acid biosynthesis"
"7","K00209","Fatty acid biosynthesis"
"8","K00232","Fatty acid breakdown"
"9","K00248","Fatty acid breakdown"
"10","K00249","Fatty acid breakdown"
"11","K00252","Fatty acid breakdown"
"12","K00255","Fatty acid breakdown"
"13","K00262","GS/GOGAT"
"14","K00264","GS/GOGAT"
"15","K00284","GS/GOGAT"
"16","K00326","Inorganic N uptake and assimilation"
"17","K00366","Nitrate reduction (assimilatory)"
"18","K00372","Nitrate reduction (assimilatory)"
"19","K00387","Inorganic N uptake and assimilation"
"20","K00454","Fatty acid breakdown"
"21","K00508","Inorganic N uptake and assimilation"
"22","K00609","Organic N uptake and assimilation"
"23","K00611","Urea cycle"
"24","K00626","Fatty acid breakdown"
"25","K00632","Fatty acid breakdown"
"26","K00645","Fatty acid biosynthesis"
"27","K00647","Fatty acid biosynthesis"
"28","K00648","Fatty acid biosynthesis"
"29","K00665","Fatty acid biosynthesis"
"30","K00667","Fatty acid biosynthesis"
"31","K00668","Fatty acid biosynthesis"
"32","K00698","Chitinase"
"33","K00871","Calcium signaling pathway"
"34","K00888","Phagosome maturation"
"35","K00889","Endocytosis"
"36","K00907","Motility, prey recognition, cytoskeleton"
"37","K00909","Phagosome maturation"
"38","K00911","Calcium signaling pathway"
"39","K00914","Early phagosome"
"40","K00921","Phagosome acidification"
"41","K00948","P metabolism"
"42","K01074","Lysosome associated"
"43","K01081","P metabolism"
"44","K01113","P metabolism"
"45","K01114","Motility, prey recognition, cytoskeleton"
"46","K01115","Endocytosis"
"47","K01116","Calcium signaling pathway"
"48","K01183","Chitinase"
"49","K01242","Calcium signaling pathway"
"50","K01275","Cathepsin"
"51","K01285","Inorganic N uptake and assimilation; Lysosome associated"
"52","K01319","Cathepsin"
"53","K01363","Cathepsin"
"54","K01365","Cathepsin"
"55","K01366","Cathepsin"
"56","K01368","Cathepsin"
"57","K01371","Cathepsin"
"58","K01373","Cathepsin"
"59","K01374","Cathepsin"
"60","K01379","Cathepsin"
"61","K01382","Cathepsin"
"62","K01425","GS/GOGAT"
"63","K01427","Organic N uptake and assimilation"
"64","K01476","Urea cycle"
"65","K01574","Fatty acid breakdown"
"66","K01640","Fatty acid breakdown"
"67","K01641","Fatty acid breakdown"
"68","K01679","Organic N uptake and assimilation"
"69","K01692","Fatty acid breakdown"
"70","K01716","Fatty acid biosynthesis"
"71","K01755","Urea cycle"
"72","K01775","Parasitism"
"73","K01782","Fatty acid breakdown"
"74","K01825","Fatty acid breakdown"
"75","K01897","Fatty acid breakdown"
"76","K01915","GS/GOGAT"
"77","K01940","Urea cycle"
"78","K01948","Urea cycle"
"79","K01955","Organic N uptake and assimilation"
"80","K01961","Fatty acid biosynthesis"
"81","K01962","Fatty acid biosynthesis"
"82","K01963","Fatty acid biosynthesis"
"83","K01995","Parasitism"
"84","K01996","Parasitism"
"85","K01997","Parasitism"
"86","K01999","Parasitism"
"87","K02144","V-type ATPase"
"88","K02145","V-type ATPase"
"89","K02146","V-type ATPase"
"90","K02147","V-type ATPase"
"91","K02148","V-type ATPase"
"92","K02149","V-type ATPase"
"93","K02150","V-type ATPase"
"94","K02151","V-type ATPase"
"95","K02152","V-type ATPase"
"96","K02153","V-type ATPase"
"97","K02154","V-type ATPase"
"98","K02155","V-type ATPase"
"99","K02160","Fatty acid biosynthesis"
"100","K02183","Calcium signaling pathway"
"101","K02184","Actin-related"
"102","K02371","Fatty acid biosynthesis"
"103","K02372","Fatty acid biosynthesis"
"104","K02575","Inorganic N uptake and assimilation"
"105","K02677","Calcium signaling pathway"
"106","K03283","Endocytosis"
"107","K03661","V-type ATPase"
"108","K03662","V-type ATPase"
"109","K03914","Calcium signaling pathway"
"110","K03915","Calcium signaling pathway"
"111","K03916","Calcium signaling pathway"
"112","K04043","Fe-S cluster formation"
"113","K04129","Calcium signaling pathway"
"114","K04130","Calcium signaling pathway"
"115","K04131","Calcium signaling pathway"
"116","K04133","Calcium signaling pathway"
"117","K04135","Calcium signaling pathway"
"118","K04136","Calcium signaling pathway"
"119","K04137","Calcium signaling pathway"
"120","K04141","Calcium signaling pathway"
"121","K04142","Calcium signaling pathway"
"122","K04143","Calcium signaling pathway"
"123","K04144","Calcium signaling pathway"
"124","K04149","Calcium signaling pathway"
"125","K04150","Calcium signaling pathway"
"126","K04157","Calcium signaling pathway"
"127","K04160","Calcium signaling pathway"
"128","K04161","Calcium signaling pathway"
"129","K04162","Calcium signaling pathway"
"130","K04163","Calcium signaling pathway"
"131","K04166","Calcium signaling pathway"
"132","K04169","Calcium signaling pathway"
"133","K04194","Calcium signaling pathway"
"134","K04195","Calcium signaling pathway"
"135","K04197","Calcium signaling pathway"
"136","K04198","Calcium signaling pathway"
"137","K04211","Calcium signaling pathway"
"138","K04222","Calcium signaling pathway"
"139","K04223","Calcium signaling pathway"
"140","K04224","Calcium signaling pathway"
"141","K04226","Calcium signaling pathway"
"142","K04227","Calcium signaling pathway"
"143","K04229","Calcium signaling pathway"
"144","K04248","Calcium signaling pathway"
"145","K04250","Phagosome maturation"
"146","K04258","Calcium signaling pathway"
"147","K04260","Calcium signaling pathway"
"148","K04262","Calcium signaling pathway"
"149","K04264","Calcium signaling pathway"
"150","K04266","Calcium signaling pathway"
"151","K04267","Calcium signaling pathway"
"152","K04279","Calcium signaling pathway"
"153","K04282","Calcium signaling pathway"
"154","K04297","Calcium signaling pathway"
"155","K04322","Calcium signaling pathway"
"156","K04323","Calcium signaling pathway"
"157","K04344","Calcium signaling pathway"
"158","K04345","Calcium signaling pathway"
"159","K04348","Calcium signaling pathway"
"160","K04361","Calcium signaling pathway"
"161","K04363","Calcium signaling pathway"
"162","K04392","Endocytosis"
"163","K04393","Endocytosis"
"164","K04487","Fe-S cluster formation"
"165","K04515","Calcium signaling pathway"
"166","K04560","SNARE complex"
"167","K04603","Calcium signaling pathway"
"168","K04604","Calcium signaling pathway"
"169","K04632","Calcium signaling pathway"
"170","K04633","Calcium signaling pathway"
"171","K04634","Calcium signaling pathway"
"172","K04635","Calcium signaling pathway"
"173","K04636","Calcium signaling pathway"
"174","K04637","Calcium signaling pathway"
"175","K04638","Motility, prey recognition, cytoskeleton"
"176","K04644","Endocytosis"
"177","K04645","Endocytosis"
"178","K04646","Endocytosis"
"179","K04718","Calcium signaling pathway"
"180","K04809","Calcium signaling pathway"
"181","K04849","Calcium signaling pathway"
"182","K04850","Calcium signaling pathway"
"183","K04851","Calcium signaling pathway"
"184","K04852","Calcium signaling pathway"
"185","K04853","Calcium signaling pathway"
"186","K04854","Calcium signaling pathway"
"187","K04855","Calcium signaling pathway"
"188","K04856","Calcium signaling pathway"
"189","K04857","Calcium signaling pathway"
"190","K04958","Calcium signaling pathway"
"191","K04959","Calcium signaling pathway"
"192","K04960","Calcium signaling pathway"
"193","K04961","Calcium signaling pathway"
"194","K04962","Calcium signaling pathway"
"195","K04963","Calcium signaling pathway"
"196","K05083","Calcium signaling pathway"
"197","K05084","Calcium signaling pathway"
"198","K05085","Calcium signaling pathway"
"199","K05089","Calcium signaling pathway"
"200","K05208","Calcium signaling pathway"
"201","K05209","Calcium signaling pathway"
"202","K05211","Calcium signaling pathway"
"203","K05212","Calcium signaling pathway"
"204","K05215","Calcium signaling pathway"
"205","K05216","Calcium signaling pathway"
"206","K05217","Calcium signaling pathway"
"207","K05218","Calcium signaling pathway"
"208","K05219","Calcium signaling pathway"
"209","K05220","Calcium signaling pathway"
"210","K05221","Calcium signaling pathway"
"211","K05653","Phagosome acidification"
"212","K05654","Phagosome acidification"
"213","K05656","Lysosome associated"
"214","K05665","Parasitism"
"215","K05680","Parasitism"
"216","K05692","Endocytosis"
"217","K05700","Motility, prey recognition, cytoskeleton"
"218","K05732","Rho GTPase"
"219","K05747","WASP / WAVE"
"220","K05748","WASP / WAVE"
"221","K05753","WASP / WAVE"
"222","K05754","Actin-related"
"223","K05755","Actin-related"
"224","K05756","Actin-related"
"225","K05757","Actin-related"
"226","K05758","Actin-related"
"227","K05840","Calcium signaling pathway"
"228","K05849","Calcium signaling pathway"
"229","K05850","Calcium signaling pathway"
"230","K05852","Calcium signaling pathway"
"231","K05853","Calcium signaling pathway"
"232","K05857","Calcium signaling pathway"
"233","K05858","Calcium signaling pathway"
"234","K05859","Calcium signaling pathway"
"235","K05860","Calcium signaling pathway"
"236","K05861","Calcium signaling pathway"
"237","K05862","Calcium signaling pathway"
"238","K05863","Calcium signaling pathway"
"239","K05865","Calcium signaling pathway"
