,Descriptive_ID,Pfam_ID,CL,Description,Gathering_threshold,Symbol,ML,Overlapping_family,Type
0,1-cysPrx_C,PF10417.12,,C-terminal domain of 1-Cys peroxiredoxin,21.1; 21.1;,1-cysPrx_C,40,,Domain
1,120_Rick_ant,PF12574.11,,120 KDa Rickettsia surface antigen,25; 25;,120_Rick_ant,238,,Family
2,12TM_1,PF09847.12,CL0181,Membrane protein of 12 TMs,33.2; 33.2;,12TM_1,449,,Family
3,14-3-3,PF00244.23,CL0020,14-3-3 protein,33.2; 33.2;,14-3-3,222,,Repeat
4,17kDa_Anti_2,PF16998.8,CL0500,17 kDa outer membrane surface antigen,26.6; 26.6;,17kDa_Anti_2,116,,Family
5,2-Hacid_dh,PF00389.33,CL0325,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",24.6; 24.6;,2-Hacid_dh,134,2-Hacid_dh_C,Domain
6,2-Hacid_dh_C,PF02826.22,CL0063,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",25.1; 25.1;,2-Hacid_dh_C,178,,Domain
7,2-oxoacid_dh,PF00198.26,CL0149,2-oxoacid dehydrogenases acyltransferase (catalytic domain),23; 23;,2-oxoacid_dh,233,,Domain
8,2-oxogl_dehyd_N,PF16078.8,,2-oxoglutarate dehydrogenase N-terminus,27; 27;,2-oxogl_dehyd_N,41,,Family
9,2-ph_phosp,PF04029.17,,2-phosphosulpholactate phosphatase,26.4; 26.4;,2-ph_phosp,226,,Family
10,2-thiour_desulf,PF04463.15,,2-thiouracil desulfurase,34.7; 34.7;,2-thiour_desulf,137,,Family
11,23ISL,PF16620.8,,Unstructured linker between I-set domains 2 and 3 on MYLCK,25; 25;,23ISL,162,,Disordered
12,23S_rRNA_IVP,PF05635.14,,23S rRNA-intervening sequence protein,23.4; 23.4;,23S_rRNA_IVP,106,,Family
13,2CSK_N,PF08521.13,CL0165,Two-component sensor kinase N-terminal,23.2; 23.2;,2CSK_N,143,,Family
14,2C_adapt,PF08793.13,,2-cysteine adaptor domain,22; 22;,2C_adapt,35,,Domain
15,2EXR,PF20150.2,,2EXR family,24.8; 24.8;,2EXR,99,,Family
16,2Fe-2S_Ferredox,PF11591.11,,Ferredoxin chloroplastic transit peptide,25; 25;,2Fe-2S_Ferredox,34,,Family
17,2Fe-2S_thioredx,PF01257.22,CL0172,Thioredoxin-like [2Fe-2S] ferredoxin,24.8; 24.8;,2Fe-2S_thioredx,145,,Family
18,2H-phosphodiest,PF08975.13,CL0247,Domain of unknown function (DUF1868),21; 21;,2H-phosphodiest,116,,Domain
19,2HCT,PF03390.18,,2-hydroxycarboxylate transporter family,26.2; 26.2;,2HCT,416,,Family
20,2OG-FeII_Oxy,PF03171.23,CL0029,2OG-Fe(II) oxygenase superfamily,23; 23;,2OG-FeII_Oxy,101,,Domain
21,2OG-FeII_Oxy_2,PF13532.9,CL0029,2OG-Fe(II) oxygenase superfamily,31.2; 31.2;,2OG-FeII_Oxy_2,194,,Domain
22,2OG-FeII_Oxy_3,PF13640.9,CL0029,2OG-Fe(II) oxygenase superfamily,27; 27;,2OG-FeII_Oxy_3,96,,Domain
23,2OG-FeII_Oxy_4,PF13661.9,CL0029,2OG-Fe(II) oxygenase superfamily,27; 27;,2OG-FeII_Oxy_4,98,,Domain
24,2OG-FeII_Oxy_5,PF13759.9,CL0029,Putative 2OG-Fe(II) oxygenase,27; 27;,2OG-FeII_Oxy_5,101,,Domain
25,2OG-FeII_Oxy_6,PF20515.1,CL0029,Tet-like 2OG-Fe(II) oxygenase superfamily,27; 27;,2OG-FeII_Oxy_6,212,,Domain
26,2OG-Fe_Oxy_2,PF10014.12,CL0029,2OG-Fe dioxygenase,23.1; 23.1;,2OG-Fe_Oxy_2,191,,Domain
27,2TM,PF13239.9,,2TM domain,24.8; 22.9;,2TM,78,,Family
28,2_5_RNA_ligase2,PF13563.9,CL0247,2'-5' RNA ligase superfamily,27; 27;,2_5_RNA_ligase2,153,,Family
29,3-HAO,PF06052.15,CL0029,3-hydroxyanthranilic acid dioxygenase,25; 25;,3-HAO,151,,Domain
30,3-PAP,PF12578.11,,Myotubularin-associated protein,23.3; 23.3;,3-PAP,132,,Family
31,3-alpha,PF03475.17,,3-alpha domain,22.7; 22.7;,3-alpha,44,,Domain
32,3-dmu-9_3-mt,PF06983.16,CL0104,3-demethylubiquinone-9 3-methyltransferase,24; 24;,3-dmu-9_3-mt,116,,Family
33,30K_MP_C_Ter,PF11330.11,,C-Terminal of 30K viral movement proteins,25; 25;,30K_MP_C_Ter,242,,Family
34,30K_MP_core,PF17644.4,,Core domain of 30K viral movement proteins,25; 25;,30K_MP_core,138,,Domain
35,3A,PF00803.21,CL0571,3A/RNA2 movement protein family,25; 25;,3A,236,,Family
36,3Beta_HSD,PF01073.22,CL0063,3-beta hydroxysteroid dehydrogenase/isomerase family,22; 22;,3Beta_HSD,280,,Family
37,3D,PF06725.14,CL0199,3D domain,23.8; 23.8;,3D,75,,Domain
38,3H,PF02829.17,,3H domain,25; 25;,3H,97,,Family
39,3HBOH,PF10605.12,CL0028,3HB-oligomer hydrolase (3HBOH),27; 26.4;,3HBOH,689,,Family
40,3HCDH,PF00725.25,CL0106,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",22.1; 22.1;,3HCDH,97,,Domain
41,3HCDH_N,PF02737.21,CL0063,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",22; 22;,3HCDH_N,180,,Domain
